"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV2114","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Adhaeribacter",NA
"ASV2115","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage",NA
"ASV2116","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter",NA
"ASV2117","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",NA
"ASV2118","Bacteria","Chloroflexi","Ktedonobacteria","C0119","C0119","C0119",NA
"ASV2119","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",NA
"ASV2120","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum",NA
"ASV2121","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacteraceae",NA
"ASV2122","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Opitutaceae",NA
"ASV2123","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Fimbriiglobus",NA
"ASV2124","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","rhodochrous"
"ASV2125","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter",NA
"ASV2126","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
"ASV2127","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium",NA
"ASV2128","Bacteria","Chloroflexi","Ktedonobacteria","C0119","C0119","C0119",NA
"ASV2129","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes",NA
"ASV2130","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Psychroglaciecola",NA
"ASV2131","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas",NA
"ASV2132","Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus Solibacter",NA
"ASV2133","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula",NA
"ASV2134","Bacteria","Sumerlaeota","Sumerlaeia","Sumerlaeales","Sumerlaeaceae","Sumerlaea",NA
"ASV2135","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group","WD2101 soil group",NA
"ASV2136","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium",NA
"ASV2137","Bacteria","Armatimonadota","Armatimonadota","Armatimonadota","Armatimonadota","Armatimonadota",NA
"ASV2138","Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae","Sandaracinaceae",NA
"ASV2139","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group","WD2101 soil group",NA
"ASV2140","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Frankiales","Frankiales",NA
"ASV2141","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",NA
"ASV2142","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea","ananatis"
"ASV2143","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter",NA
